# [HI_SPD_FILE_2]
# FileName=0xDB010200
# RecordSize=168
# NumberOfRecords=8724
# FirmwareVersion=50435R0102
# ToolSerialNumber=
# FileSize=1465984
# BlockSize=32768
# NumberOfBlocks=45
# DownloadTimeStamp=2023-08-31_10:55:45
# DownloadPcName=APS-TEST-FACILI
# PcUserName=mwd
# DownloadLibrary=APS.Communications 2.0.0.0
# BaudRate=460800
# InterfaceVersion=[&VER:50009R0200]
# DownloadTime=00:00:39
# Configuration Date=2000-01-01 00:00:00
# Current Transmission Integration=30
# Current Logging Integration=20
# Current Raw Data Logging Interval=20
# Number Of Detectors=2
# Detector 1=Normalization Correction=1.0000, Bin Offset=0
# Detector 2=Normalization Correction=1.0000, Bin Offset=16
# API Correction=1.0000
# Serial Number=          
# BuildNumber=          
# Library Version=APS.Sensors.AZG 3.0.0.0
# 
# [HI_SPEED_DIAGS]
# BlocksSuccessfullyReceived=45
# BlocksSuccessfullyRecovered=0
# BlocksInitialFailures=0
# SegsInvalidCount=0
# SegsMissingCount=0
# SegsValidCount=5760
# 
# 
RecordNumber,TimeStamp,RecordStatus,Status,BinRefAtStart,BinRefAtEnd,LoggingInterval,IntegrationInterval,Excursions,MilliSeconds,RPM,Temperature,TotalDetectorCurrent,DetectorVoltage,Dwell1,Dwell2,Dwell3,Dwell4,Dwell5,Dwell6,Dwell7,Dwell8,Dwell9,Dwell10,Dwell11,Dwell12,Dwell13,Dwell14,Dwell15,Dwell16,Dwell17,Dwell18,Dwell19,Dwell20,Dwell21,Dwell22,Dwell23,Dwell24,D1Bin1,D1Bin2,D1Bin3,D1Bin4,D1Bin5,D1Bin6,D1Bin7,D1Bin8,D1Bin9,D1Bin10,D1Bin11,D1Bin12,D1Bin13,D1Bin14,D1Bin15,D1Bin16,D1Bin17,D1Bin18,D1Bin19,D1Bin20,D1Bin21,D1Bin22,D1Bin23,D1Bin24,D2Bin1,D2Bin2,D2Bin3,D2Bin4,D2Bin5,D2Bin6,D2Bin7,D2Bin8,D2Bin9,D2Bin10,D2Bin11,D2Bin12,D2Bin13,D2Bin14,D2Bin15,D2Bin16,D2Bin17,D2Bin18,D2Bin19,D2Bin20,D2Bin21,D2Bin22,D2Bin23,D2Bin24,D3Bin1,D3Bin2,D3Bin3,D3Bin4,D3Bin5,D3Bin6,D3Bin7,D3Bin8,D3Bin9,D3Bin10,D3Bin11,D3Bin12,D3Bin13,D3Bin14,D3Bin15,D3Bin16,D3Bin17,D3Bin18,D3Bin19,D3Bin20,D3Bin21,D3Bin22,D3Bin23,D3Bin24
4500,2023-08-23 10:20:32,102,0,3,3,20,20,0,88845000,0,23.16,19.39,32.43,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501,2023-08-23 10:20:52,102,0,3,3,20,20,0,88865000,0,23.14,19.37,32.43,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4502,2023-08-23 10:21:12,102,0,3,3,20,20,0,88885000,0,23.21,19.37,32.44,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4503,2023-08-23 10:21:32,102,0,3,3,20,20,0,88905000,0,23.17,19.37,32.43,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4504,2023-08-23 10:21:52,102,0,3,3,20,20,0,88925000,0,23.17,19.37,32.43,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505,2023-08-23 10:22:12,102,0,3,3,20,20,0,88945000,0,23.16,19.37,32.43,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4506,2023-08-23 10:22:32,102,0,3,3,20,20,0,88965000,0,23.2,19.37,32.43,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4507,2023-08-23 10:22:52,102,0,3,3,20,20,0,88985000,0,23.18,19.36,32.42,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4508,2023-08-23 10:23:12,102,0,3,3,20,20,0,89005000,0,23.2,19.39,32.43,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4509,2023-08-23 10:23:32,102,0,3,3,20,20,0,89025000,0,23.18,19.39,32.43,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
